Date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-07-22,146.8,148.195,145.81,145.935,77338156,145.7637215324,147.1488740633,144.7807100588,144.9048276691,77338156,0.0,1.0
2021-07-23,148.56,148.7177,146.92,147.55,71447416,147.5112974854,147.6678842625,145.8828744383,146.5084271942,71447416,0.0,1.0
2021-07-26,148.99,149.83,147.7,148.27,72434089,147.9382620648,148.772332406,146.6573683265,147.2233446295,72434089,0.0,1.0
2021-07-27,146.77,149.21,145.55,149.12,104818578,145.7339333059,148.1567090589,144.5225454294,148.0673443795,104818578,0.0,1.0
2021-07-28,144.98,146.97,142.54,144.81,118931191,143.9565691265,145.9325214824,141.5337933735,143.7877691765,118931191,0.0,1.0
2021-07-29,145.64,146.55,144.58,144.685,54323047,144.6119101088,145.5154863118,143.5593927735,143.6636515662,54323047,0.0,1.0
2021-07-30,145.86,146.33,144.11,144.38,70440626,144.830357103,145.2970393177,143.0927105588,143.3608045971,70440626,0.0,1.0
2021-08-02,145.52,146.95,145.25,146.36,62879961,144.492757203,145.9126626648,144.2246631647,145.3268275442,62879961,0.0,1.0
2021-08-03,147.36,148.045,145.18,145.81,64786618,146.3197684265,146.9999329309,144.155157303,144.7807100588,64786618,0.0,1.0
2021-08-04,146.95,147.79,146.28,147.27,56368271,145.9126626648,146.7467330059,145.2473922736,146.2304037471,56368271,0.0,1.0
2021-08-05,147.06,147.84,146.17,146.98,46397674,146.0218861618,146.7963800501,145.1381687765,145.9424508912,46397674,0.0,1.0
2021-08-06,146.14,147.11,145.63,146.35,54126813,145.3268275442,146.2914301356,144.8196653569,145.535659033,54126813,0.22,1.0
2021-08-09,146.09,146.7,145.52,146.2,48908689,145.2771057611,145.8837115145,144.7102774341,145.3864936838,48908689,0.0,1.0
2021-08-10,145.6,147.71,145.3,146.44,69023081,144.789832287,146.8880915324,144.4915015886,145.6251582425,69023081,0.0,1.0
2021-08-11,145.86,146.72,145.53,146.05,48493463,145.048385559,145.9036002277,144.7202217908,145.2373283346,48493463,0.0,1.0
2021-08-12,148.89,149.05,145.84,146.19,73779113,148.0615256128,148.2206353186,145.0284968458,145.3765493272,73779113,0.0,1.0
2021-08-13,149.1,149.4444,148.27,148.97,58846293,148.2703571016,148.6128407434,147.4449755027,148.1410804657,58846293,0.0,1.0
2021-08-16,151.12,151.19,146.47,148.535,103558782,150.2791171375,150.3487276338,145.6549913124,147.708500953,103558782,0.0,1.0
2021-08-17,150.19,151.68,149.09,150.23,92229735,149.3542919725,150.8360011078,148.260412745,149.3940693989,92229735,0.0,1.0
2021-08-18,146.36,150.72,146.15,149.8,86325990,145.5456033896,149.881342873,145.3367719008,148.9664620646,86325990,0.0,1.0
2021-08-19,146.7,148.0,144.5,145.03,86960310,145.8837115145,147.1764778742,143.6959530596,144.2230039601,86960310,0.0,1.0
2021-08-20,148.19,148.5,146.78,147.44,60549630,147.3654206498,147.6736957048,145.9632663674,146.6195939039,60549630,0.0,1.0
2021-08-23,149.71,150.19,147.89,148.31,60131810,148.876962855,149.3542919725,147.0670899514,147.4847529292,60131810,0.0,1.0
2021-08-24,149.62,150.86,149.15,149.45,48606428,148.7874636455,150.0205638655,148.3200788847,148.6184095831,48606428,0.0,1.0
2021-08-25,148.36,150.32,147.8,149.81,58991297,147.5344747123,149.4835686084,146.9775907419,148.9764064212,58991297,0.0,1.0
2021-08-26,147.54,149.12,147.51,148.35,48597195,146.71903747,148.2902458149,146.6892044001,147.5245303557,48597195,0.0,1.0
2021-08-27,148.6,148.75,146.83,147.48,55802388,147.773139271,147.9223046202,146.0129881505,146.6593713303,55802388,0.0,1.0
2021-08-30,153.12,153.49,148.61,149.0,90956723,152.2679884601,152.6359296548,147.7830836276,148.1709135355,90956723,0.0,1.0
2021-08-31,151.83,152.8,151.29,152.66,86453117,150.985166457,151.9497690485,150.4481711999,151.8105480559,86453117,0.0,1.0
2021-09-01,152.51,154.98,152.34,152.83,80313711,151.6613827067,154.1176387902,151.4923286443,151.9796021183,80313711,0.0,1.0
2021-09-02,153.65,154.72,152.4,153.87,71171317,152.7950393606,153.8590855182,151.551994784,153.0138152061,71171317,0.0,1.0
2021-09-03,154.3,154.63,153.09,153.76,57866066,153.4414225405,153.7695863087,152.2381553903,152.9044272833,57866066,0.0,1.0
2021-09-07,156.69,157.26,154.39,154.97,82278261,155.818123771,156.3849520979,153.53092175,154.1076944335,82278261,0.0,1.0
2021-09-08,155.11,157.04,153.975,156.98,74420207,154.2469154261,156.1661762525,153.1182309505,156.1065101128,74420207,0.0,1.0
2021-09-09,154.07,156.11,153.95,155.49,57305730,153.2127023384,155.2413510874,153.093370059,154.6248009774,57305730,0.0,1.0
2021-09-10,148.97,155.48,148.7,155.0,140893235,148.1410804657,154.6148566208,147.8725828371,154.1375275034,140893235,0.0,1.0
2021-09-13,149.55,151.42,148.75,150.63,102404329,148.7178531492,150.5774478359,147.9223046202,149.7918436634,102404329,0.0,1.0
2021-09-14,148.12,151.07,146.91,150.35,109296295,147.2958101535,150.2293953544,146.0925430034,149.5134016783,109296295,0.0,1.0
2021-09-15,149.03,149.44,146.37,148.56,83281315,148.2007466053,148.6084652265,145.5555477463,147.7333618445,83281315,0.0,1.0
2021-09-16,148.79,148.97,147.221,148.44,68034149,147.9620820466,148.1410804657,146.401812494,147.6140295652,68034149,0.0,1.0
2021-09-17,146.06,148.82,145.76,148.82,129868824,145.2472726912,147.9919151165,144.9489419929,147.9919151165,129868824,0.0,1.0
2021-09-20,142.94,144.84,141.27,143.8,123478863,142.144633428,144.0340611844,140.4839258736,142.9998480967,123478863,0.0,1.0
2021-09-21,143.43,144.6,142.78,143.93,75833962,142.631906902,143.7953966257,141.9855237221,143.1291247327,75833962,0.0,1.0
2021-09-22,145.85,146.43,143.7001,144.45,76404341,145.0384412024,145.6152138859,142.9005039741,143.6462312765,76404341,0.0,1.0
2021-09-23,146.83,147.08,145.64,146.65,64838170,146.0129881505,146.2615970658,144.8296097135,145.8339897314,64838170,0.0,1.0
2021-09-24,146.92,147.4701,145.56,145.66,53477869,146.10248736,146.6495264173,144.7500548606,144.8494984267,53477869,0.0,1.0
2021-09-27,145.37,145.96,143.82,145.47,74150729,144.5611120849,145.1478291251,143.0197368099,144.6605556511,74150729,0.0,1.0
2021-09-28,141.91,144.75,141.69,143.25,108972340,141.1203646968,143.9445619749,140.9015888513,142.452908483,108972340,0.0,1.0
2021-09-29,142.83,144.45,142.03,142.47,74602044,142.0352455052,143.6462312765,141.2396969762,141.6772486671,74602044,0.0,1.0
2021-09-30,141.5,144.378,141.28,143.66,89056664,140.7126460757,143.5746319089,140.4938702302,142.8606271041,89056664,0.0,1.0
2021-10-01,142.65,142.92,139.1101,141.9,94639581,141.8562470862,142.1247447147,138.3360442887,141.1104203402,94639581,0.0,1.0
2021-10-04,139.14,142.21,138.27,141.76,98322008,138.365777915,141.4186953952,137.5006188896,140.9711993476,98322008,0.0,1.0
2021-10-05,141.11,142.24,139.36,139.49,80861062,140.3248161678,141.448528465,138.5845537605,138.7138303964,80861062,0.0,1.0
